Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,231.719,231.719,231.719,0,231.719,231.719,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,67.5782,67.5782,67.5782,0.00475814,67.5782,67.5782,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,1.07351,1.07351,1.07351,0.000182074,1.07351,1.07351,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,42,42,42,0,42,42,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,83.6399,83.6399,83.6399,0.00410571,83.6399,83.6399,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,41.5284,41.5284,41.5284,0,41.5284,41.5284,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,79.0985,79.0985,79.0985,0.00866108,79.0985,79.0985,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,6.9713,6.9713,6.9713,0.000540177,6.9713,6.9713,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,94.4779,94.4779,94.4779,0.015437,94.4779,94.4779,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,6.21502,6.21502,6.21502,0,6.21502,6.21502,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.904547,0.904547,0.904547,0.000159635,0.904547,0.904547,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,65.587,65.587,65.587,0,65.587,65.587,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),551.653,551.653,551.653,0,551.653,551.653,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,17.1382,17.1382,17.1382,0.00377623,17.1382,17.1382,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,61.5779,61.5779,61.5779,0.00396185,61.5779,61.5779,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,6.3003,6.3003,6.3003,0.000784266,6.3003,6.3003,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,5.84722,5.84722,5.84722,0,5.84722,5.84722,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,13.5579,13.5579,13.5579,0,13.5579,13.5579,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,61.8736,61.8736,61.8736,0,61.8736,61.8736,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),231.719,231.719,231.719,0,231.719,231.719,1,um^2,Filament,,,,,,,,1,
