Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,190.314,190.314,190.314,0.0260225,190.314,190.314,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,67.8147,67.8147,67.8147,0.0099012,67.8147,67.8147,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,0.877023,0.877023,0.877023,7.49E-05,0.877023,0.877023,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,46,46,46,0,46,46,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,108.893,108.893,108.893,0.00700808,108.893,108.893,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,33.7844,33.7844,33.7844,0.00605072,33.7844,33.7844,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,59.0088,59.0088,59.0088,0.0103147,59.0088,59.0088,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,6.52386,6.52386,6.52386,0.00136432,6.52386,6.52386,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,137.394,137.394,137.394,0.00756465,137.394,137.394,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,6.78319,6.78319,6.78319,0,6.78319,6.78319,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.791782,0.791782,0.791782,0.000152047,0.791782,0.791782,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,43.5978,43.5978,43.5978,0,43.5978,43.5978,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),521.583,521.583,521.583,0,521.583,521.583,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,27.8877,27.8877,27.8877,0,27.8877,27.8877,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,55.5765,55.5765,55.5765,0.00846586,55.5765,55.5765,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,5.54993,5.54993,5.54993,0,5.54993,5.54993,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,3.89067,3.89067,3.89067,0,3.89067,3.89067,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,24.9304,24.9304,24.9304,0,24.9304,24.9304,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,56.679,56.679,56.679,0.0108976,56.679,56.679,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),190.314,190.314,190.314,0.0260225,190.314,190.314,1,um^2,Filament,,,,,,,,1,
Filament Dendrite Length (sum),67.8147,67.8147,67.8147,0.0099012,67.8147,67.8147,1,um,Filament,,,,,,,,1,
Filament Dendrite Volume (sum),43.5978,43.5978,43.5978,0,43.5978,43.5978,1,um^3,Filament,,,,,,,,1,
Filament Distance from Origin,68.1553,68.1553,68.1553,0.0155183,68.1553,68.1553,1,um,Filament,,Filament Distance from Origin,,,,,,1,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Length (sum),176.886,176.886,176.886,0,176.886,176.886,1,um,Filament,,,,,,,,1,
